Ro,smiles
1.5627,[O-][N+](=O)[N-]CC[NH3+]
1.5316,[O-][N+](=O)c1cc(ccc1N/N=C(/c1ccco1)\C)[N+](=O)[O-]
1.3332,[O-][N+](=O)/N=C\1/C(=N\[N+](=O)[O-])/[C@@]2(C([C@H]1CC2)(C)C)C
1.3124,[O-][N+](=O)/C(=C/c1cn(c2c1cccc2)C)/C
1.3732,COc1ccc(cc1)/C=C(/c1ccc(cc1)[N+](=O)[O-])\C#N
1.3926,COc1ccc(cc1)Oc1ncccc1[N+](=O)[O-]
1.5603,[O-][N+](=O)c1cccc2c1[nH]nc2
1.4419,COc1ccccc1/C(=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])/C
1.3336,[O-][N+](=O)c1cc2c(CCC(=O)OCC)c[nH]c2cc1
1.5313,O=C(c1ccccc1[N+](=O)[O-])OC(=O)c1ccccc1[N+](=O)[O-]
1.2978,CC(N1O[C@@H]1c1ccc(cc1)[N+](=O)[O-])C
1.5343,Cc1c([N+](=O)[O-])c(C)c(c(c1[N+](=O)[O-])C)[N+](=O)[O-]
1.7267,[N-]=[N+]=C1C=C(C=C(C1=O)[N+](=O)[O-])[N+](=O)[O-]
1.3874,[O-][N+](=O)c1ccccc1CN1CN1Cc1ccccc1[N+](=O)[O-]
1.3943,COC(=O)[C@@H](C(C)C)NC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
1.3615,CC[C@H]([C@H](C(=O)OC)Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C
1.4911,O=C=Nc1ccc(cc1)[N+](=O)[O-]
1.4369,[O-][N+](=O)c1cccc(c1)COCc1cccc(c1)[N+](=O)[O-]
1.336,C/C(=N\NC(=O)c1ccccc1[N+](=O)[O-])/c1ccccn1
1.3482,OC[C@@H]1CC[C@@H](N1C(=O)c1ccccc1[N+](=O)[O-])OC
1.8092,[O-][N+](=O)c1c([N+](=O)[O-])c(c(n1C)[N+](=O)[O-])[N+](=O)[O-]
1.7674,Nc1nonc1c1nonc1c1nonc1[N+](=O)[O-]
1.7771,O=C1OC(=O)c2c3c1ccc(c3c(cc2)[N+](=O)[O-])[N+](=O)[O-]
1.5791,[O-][N+](=O)c1cc(n2cncn2)c(c(c1)[N+](=O)[O-])C
1.4616,[O-][N+](=O)c1ccc2c(c1)C(=NCN2)c1ccccc1
1.4851,[O-][N+](=O)c1ccc(cc1)OCn1ncnc1
1.4195,COc1c(OC)cccc1C(=O)Nc1ccc(cc1)[N+](=O)[O-]
1.4025,Oc1ccc(cc1/C=N/C1CC1)[N+](=O)[O-]
1.3613,Cc1ccc(cc1)N1C[C@H]2[C@]3(C1)C=C[C@]([C@@H]2C)(O3)[N+](=O)[O-]
1.4598,[O-][N+](=O)c1cc(ccc1Cc1ccncc1)[N+](=O)[O-]
1.4215,O=C(c1ccccc1Oc1ccccn1)c1ccc(cc1)[N+](=O)[O-]
1.3934,CC(=O)N1CCc2c1ccc(c2)[N+](=O)[O-]
1.7532,[O-][N+](=O)n1cnc(c1)[N+](=O)[O-]
1.4118,[O-][N+](=O)c1ccccc1c1cc[nH]n1
1.5828,[O-][N+](=O)c1cc(C(=O)N)c(c(c1)[N+](=O)[O-])C
1.432,O=C1[C@@H]2[C@@H]([C@@H]2[N+](=O)[O-])C(=O)N1Cc1ccccc1
1.3987,Cc1ccc(cc1)C/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
1.4186,C/C(=N\Nc1ccc(cc1)[N+](=O)[O-])/c1nccnc1
1.2799,C[C@H]([C@H](c1ccccc1)O)/N=C/c1ccc(cc1)[N+](=O)[O-]
1.6816,[O-][N+](=O)C1([N+](=O)[O-])[C@@H]2C[C@H]3[C@H]4[C@@H]2[C@H]2[C@@H]1C[C@H]([C@@H]42)C3([N+](=O)[O-])[N+](=O)[O-]
1.5167,O=C1/C(=C/Nc2ccc(cc2)[N+](=O)[O-])/C=CC=C1O
1.3471,O=Cc1n(nnc1C(C)(C)C)c1ccc(cc1)[N+](=O)[O-]
1.285,[O-][N+](=O)[C@H]1C(=C[C@@](C(=O)[C@@]1(C)O)(C)[N+](=O)[O-])C(C)(C)C
1.488,[O-][N+](=O)c1cc(ccc1Nc1ccccc1)[N+](=O)[O-]
1.5337,O=C(c1ccc(cc1)[N+](=O)[O-])Nc1ccc(cc1)[N+](=O)[O-]
1.3286,Cc1ccc(cc1)C(=C([N+](=O)[O-])[N+](=O)[O-])c1ccc(cc1)C
1.3732,O=C(c1ccc(cc1)[N+](=O)[O-])OCCn1ccc2c1cccc2
1.3849,[O-][N+](=O)c1ccc(cc1)COc1ccc2c(c1)cccn2
1.4405,CN(c1ccncc1)[N+](=O)[O-]
