smiles,Formula,Mass,Ro,HOFs,Td,D(km/s),P(GPa),Q(J/g),V(L/kg),T(K),ID
O=[N+]([O-])c1nn([N+](=O)[O-])c2nnc3n([N+](=O)[O-])nc([N+](=O)[O-])n1-n23,C4N12O8,344.1,1.964,832.5,214,9.47,42.7,6995,650,4553,HE_1
O=c1c2nn([N+](=O)[O-])c([N+](=O)[O-])c2c([N+](=O)[O-])nn1[N+](=O)[O-],C5N8O9,316.1,1.962,374.5,202,9.17,40,6789,602,4089,HE_2
O=[N+]([O-])c1nc2onc([N+](=O)[O-])n2c1[N+](=O)[O-],C4N6O7,244.1,1.918,403.1,213,9.15,39.3,7296,596,4352,HE_3
O=[N+]([O-])c1n[nH]c2nnc3n([N+](=O)[O-])nc([N+](=O)[O-])n1-n23,C4HN11O6,299.1,1.951,737.8,260,9.15,39.6,6491,655,4253,HE_4
Nc1nn([N+](=O)[O-])c2nnc3n([N+](=O)[O-])nc([N+](=O)[O-])n1-n23,C4H2N12O6,314.1,1.933,814,260,9.15,39.4,6496,677,4400,HE_5
O=[N+]([O-])Nn1nc([N+](=O)[O-])n2c([N+](=O)[O-])n[nH]c3nnc1n3-2,C4H2N12O6,314.1,1.951,744.2,225,9.13,39.5,6274,677,4250,HE_6
Nn1nc([N+](=O)[O-])n2c([N+](=O)[O-])nn([N+](=O)[O-])c3nnc1n3-2,C4H2N12O6,314.1,1.912,828.9,274,9.1,38.8,6543,677,4432,HE_7
O=[N+]([O-])c1nc([N+](=O)[O-])c2c([N+](=O)[O-])nn([N+](=O)[O-])c2n1,C5N8O8,300.1,1.939,494.8,209,9.06,38.8,6896,597,4117,HE_8
O=[N+]([O-])c1nn([N+](=O)[O-])c2nnc3n([N+](=O)[O-])ncn1-n32,C4HN11O6,299.1,1.904,796.2,245,9.06,38.3,6686,655,4381,HE_9
O=[N+]([O-])c1nn2c([N+](=O)[O-])nc([N+](=O)[O-])c2o1,C4N6O7,244.1,1.911,346.4,211,9.06,38.4,7064,596,4214,HE_10
O=[N+]([O-])c1c2nnn([N+](=O)[O-])nc-2c([N+](=O)[O-])c1[N+](=O)[O-],C5N8O8,300.1,1.934,494.1,203,9.04,38.6,6893,597,4116,HE_11
O=[N+]([O-])c1nc2c([N+](=O)[O-])nnn2nc1[N+](=O)[O-],C4N8O6,256.1,1.923,564.9,221,9.02,38.3,6817,612,4174,HE_12
Nc1nn(N[N+](=O)[O-])c2nnc3n([N+](=O)[O-])nc([N+](=O)[O-])n1-n23,C4H3N13O6,329.2,1.907,799.8,221,9.02,38,6226,697,4342,HE_13
Nc1nn([N+](=O)[O-])c2nnc3n(N[N+](=O)[O-])nc([N+](=O)[O-])n1-n32,C4H3N13O6,329.2,1.913,781.7,218,9.02,38.1,6171,697,4304,HE_14
O=[N+]([O-])c1nn2c([N+](=O)[O-])n[nH]c2c1[N+](=O)[O-],C4HN7O6,243.1,1.951,377.1,273,9.01,38.5,6503,621,4045,HE_15
