smiles,Formula,Mass,HOFs,Td,Ro,D(km/s),P(GPa),Q(J/g),V(L/kg),T(K)
O=[N+]([O-])c1nn([N+](=O)[O-])c2nnc3n([N+](=O)[O-])nc([N+](=O)[O-])n1-n23,C4N12O8,344.1,832.5 ,214.2 ,1.964 ,9.47 ,42.7,6995,650,4553
O=c1c2nn([N+](=O)[O-])c([N+](=O)[O-])c2c([N+](=O)[O-])nn1[N+](=O)[O-],C5N8O9,316.1,374.5 ,202.3 ,1.962 ,9.17 ,40,6789,602,4089
O=[N+]([O-])c1nc2onc([N+](=O)[O-])n2c1[N+](=O)[O-],C4N6O7,244.1,403.1 ,213.0 ,1.918 ,9.15 ,39.3,7296,596,4352
O=[N+]([O-])c1n[nH]c2nnc3n([N+](=O)[O-])nc([N+](=O)[O-])n1-n23,C4HN11O6,299.1,737.8 ,259.8 ,1.951 ,9.15 ,39.6,6491,655,4253
Nc1nn([N+](=O)[O-])c2nnc3n([N+](=O)[O-])nc([N+](=O)[O-])n1-n23,C4H2N12O6,314.1,814.0 ,260.2 ,1.933 ,9.15 ,39.4,6496,677,4400
O=[N+]([O-])Nn1nc([N+](=O)[O-])n2c([N+](=O)[O-])n[nH]c3nnc1n3-2,C4H2N12O6,314.1,744.2 ,225.3 ,1.951 ,9.13 ,39.5,6274,677,4250
Nn1nc([N+](=O)[O-])n2c([N+](=O)[O-])nn([N+](=O)[O-])c3nnc1n3-2,C4H2N12O6,314.1,828.9 ,273.5 ,1.912 ,9.10 ,38.8,6543,677,4432
O=[N+]([O-])c1nc([N+](=O)[O-])c2c([N+](=O)[O-])nn([N+](=O)[O-])c2n1,C5N8O8,300.1,494.8 ,208.6 ,1.939 ,9.06 ,38.8,6896,597,4117
O=[N+]([O-])c1nn([N+](=O)[O-])c2nnc3n([N+](=O)[O-])ncn1-n32,C4HN11O6,299.1,796.2 ,245.1 ,1.904 ,9.06 ,38.3,6686,655,4381
O=[N+]([O-])c1nn2c([N+](=O)[O-])nc([N+](=O)[O-])c2o1,C4N6O7,244.1,346.4 ,211.2 ,1.911 ,9.06 ,38.4,7064,596,4214
O=[N+]([O-])c1c2nnn([N+](=O)[O-])nc-2c([N+](=O)[O-])c1[N+](=O)[O-],C5N8O8,300.1,494.1 ,202.7 ,1.934 ,9.04 ,38.6,6893,597,4116
O=[N+]([O-])c1nc2c([N+](=O)[O-])nnn2nc1[N+](=O)[O-],C4N8O6,256.1,564.9 ,221.1 ,1.923 ,9.02 ,38.3,6817,612,4174
Nc1nn(N[N+](=O)[O-])c2nnc3n([N+](=O)[O-])nc([N+](=O)[O-])n1-n23,C4H3N13O6,329.2,799.8 ,220.7 ,1.907 ,9.02 ,38,6226,697,4342
Nc1nn([N+](=O)[O-])c2nnc3n(N[N+](=O)[O-])nc([N+](=O)[O-])n1-n32,C4H3N13O6,329.2,781.7 ,217.7 ,1.913 ,9.02 ,38.1,6171,697,4304
O=[N+]([O-])c1nn2c([N+](=O)[O-])n[nH]c2c1[N+](=O)[O-],C4HN7O6,243.1,377.1 ,272.6 ,1.951 ,9.01 ,38.5,6503,621,4045
NN=c1c2nn([N+](=O)[O-])nc2c([N+](=O)[O-])nn1[N+](=O)[O-],C4H2N10O6,286.1,602.8 ,208.4 ,1.912 ,8.99 ,37.8,6393,665,4254
O=[N+]([O-])c1nnc2nnc([N+](=O)[O-])n2n1,C3N8O4,212.1,684.4 ,216.2 ,1.885 ,8.99 ,37.5,6939,633,4397
O=[N+]([O-])c1nc([N+](=O)[O-])n2c([N+](=O)[O-])nnc2c1[N+](=O)[O-],C5N8O8,300.1,491.5 ,214.7 ,1.917 ,8.98 ,37.9,6885,597,4111
O=[N+]([O-])c1c([N+](=O)[O-])c([N+](=O)[O-])n2nnnc2c1[N+](=O)[O-],C5N8O8,300.1,485.7 ,201.3 ,1.918 ,8.98 ,37.8,6865,597,4099
O=[N+]([O-])c1nnnc2c1c([N+](=O)[O-])nn2[N+](=O)[O-],C4N8O6,256.1,605.1 ,200.7 ,1.895 ,8.98 ,37.6,6974,612,4270
O=[N+]([O-])c1nc2nnc([N+](=O)[O-])n2c([N+](=O)[O-])c1[N+](=O)[O-],C5N8O8,300.1,479.6 ,207.8 ,1.917 ,8.97 ,37.8,6845,597,4087
O=[N+]([O-])c1nn2c([N+](=O)[O-])nnc2c([N+](=O)[O-])c1[N+](=O)[O-],C5N8O8,300.1,473.5 ,210.4 ,1.919 ,8.97 ,37.8,6825,597,4075
Nc1nn(N[N+](=O)[O-])c2nnc3n(N[N+](=O)[O-])nc([N+](=O)[O-])n1-n23,C4H4N14O6,344.2,790.7 ,205.6 ,1.904 ,8.97 ,37.6,5994,715,4291
O=[N+]([O-])Nn1nc([N+](=O)[O-])n2cnn([N+](=O)[O-])c3nnc1n3-2,C4H2N12O6,314.1,746.4 ,201.5 ,1.901 ,8.96 ,37.5,6280,677,4254
Nn1nc([N+](=O)[O-])n2c([N+](=O)[O-])nn(N[N+](=O)[O-])c3nnc1n3-2,C4H3N13O6,329.2,791.4 ,241.0 ,1.893 ,8.96 ,37.4,6200,697,4325
O=[N+]([O-])c1nn([N+](=O)[O-])c2c([N+](=O)[O-])n[nH]c12,C4HN7O6,243.1,398.1 ,253.8 ,1.927 ,8.96 ,37.8,6589,621,4098
Nc1nn2c([N+](=O)[O-])nn([N+](=O)[O-])c2c1[N+](=O)[O-],C4H2N8O6,258.1,442.1 ,246.4 ,1.912 ,8.95 ,37.5,6465,650,4208
O=[N+]([O-])c1nc2c([N+](=O)[O-])c([N+](=O)[O-])nc([N+](=O)[O-])n2n1,C5N8O8,300.1,426.6 ,214.3 ,1.927 ,8.94 ,37.6,6668,597,3982
O=[N+]([O-])c1nc([N+](=O)[O-])c2c(nnn2[N+](=O)[O-])c1[N+](=O)[O-],C5N8O8,300.1,460.7 ,200.7 ,1.915 ,8.94 ,37.5,6782,597,4050
O=[N+]([O-])Nn1ncn2c([N+](=O)[O-])nn(N[N+](=O)[O-])c3nnc1n3-2,C4H3N13O6,329.2,757.8 ,203.7 ,1.899 ,8.94 ,37.3,6098,697,4253
O=[N+]([O-])c1nn([N+](=O)[O-])c2nc3c(c([N+](=O)[O-])nn3[N+](=O)[O-])c([N+](=O)[O-])c12,C7N10O10,384.1,622.1 ,256.8 ,1.950 ,8.94 ,37.9,6743,583,3932
O=[N+]([O-])c1nn2c([N+](=O)[O-])c([N+](=O)[O-])nnc2c1[N+](=O)[O-],C5N8O8,300.1,471.7 ,217.9 ,1.910 ,8.94 ,37.4,6819,597,4071
Nn1nc([N+](=O)[O-])c2c1c([N+](=O)[O-])nn2[N+](=O)[O-],C4H2N8O6,258.1,484.1 ,247.2 ,1.892 ,8.94 ,37.2,6628,650,4314
Nc1nn2nnn([N+](=O)[O-])c2c1[N+](=O)[O-],C3H2N8O4,214.1,568.8 ,211.9 ,1.881 ,8.94 ,37.1,6547,680,4452
Nn1nc([N+](=O)[O-])n2nc([N+](=O)[O-])c([N+](=O)[O-])c12,C4H2N8O6,258.1,456.1 ,262.4 ,1.903 ,8.93 ,37.3,6519,650,4243
O=[N+]([O-])c1nn2nn[nH]c2c1[N+](=O)[O-],C3HN7O4,199.1,486.3 ,200.9 ,1.911 ,8.93 ,37.4,6512,646,4213
Nc1nn([N+](=O)[O-])c2c([N+](=O)[O-])nn([N+](=O)[O-])c12,C4H2N8O6,258.1,451.5 ,216.3 ,1.904 ,8.93 ,37.3,6501,650,4231
O=[N+]([O-])c1nc2[nH]nc([N+](=O)[O-])n2n1,C3HN7O4,199.1,466.4 ,245.7 ,1.920 ,8.93 ,37.4,6412,646,4148
O=[N+]([O-])Nn1nc([N+](=O)[O-])c2c([N+](=O)[O-])n[nH]c21,C4H2N8O6,258.1,396.7 ,209.6 ,1.924 ,8.93 ,37.5,6289,650,4093
Nc1c([N+](=O)[O-])nn2c([N+](=O)[O-])nn([N+](=O)[O-])c12,C4H2N8O6,258.1,423.0 ,248.2 ,1.913 ,8.93 ,37.3,6391,650,4159
Nn1nnn2nc([N+](=O)[O-])c([N+](=O)[O-])c12,C3H2N8O4,214.1,582.9 ,222.7 ,1.872 ,8.93 ,36.9,6613,680,4497
O=[N+]([O-])c1nn([N+](=O)[O-])c2cnn([N+](=O)[O-])c12,C4HN7O6,243.1,452.7 ,213.1 ,1.893 ,8.92 ,37.1,6814,621,4238
O=[N+]([O-])Nn1ncn2c([N+](=O)[O-])nn([N+](=O)[O-])c3nnc1n3-2,C4H2N12O6,314.1,774.3 ,211.9 ,1.877 ,8.92 ,36.8,6369,677,4314
O=[N+]([O-])c1cnn2nnn([N+](=O)[O-])c12,C3HN7O4,199.1,588.4 ,203.3 ,1.856 ,8.92 ,36.6,7024,646,4544
O=[N+]([O-])Nn1nc([N+](=O)[O-])c2[nH]nc([N+](=O)[O-])c21,C4H2N8O6,258.1,399.0 ,227.2 ,1.919 ,8.91 ,37.3,6298,650,4099
Nc1nn([N+](=O)[O-])c2c1c([N+](=O)[O-])nn2[N+](=O)[O-],C4H2N8O6,258.1,436.1 ,214.3 ,1.902 ,8.91 ,37,6442,650,4193
O=[N+]([O-])c1nc2nc([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])n2n1,C5N8O8,300.1,405.5 ,207.3 ,1.922 ,8.90 ,37.2,6598,597,3940
O=[N+]([O-])c1n[nH]c2c1c([N+](=O)[O-])nn2[N+](=O)[O-],C4HN7O6,243.1,398.0 ,256.4 ,1.910 ,8.90 ,37.1,6589,621,4098
O=[N+]([O-])c1nc([N+](=O)[O-])n2c([N+](=O)[O-])c([N+](=O)[O-])nc2n1,C5N8O8,300.1,446.0 ,211.9 ,1.908 ,8.90 ,37.1,6733,597,4020
O=[N+]([O-])c1nn([N+](=O)[O-])c2c1cnn2[N+](=O)[O-],C4HN7O6,243.1,461.0 ,227.8 ,1.881 ,8.89 ,36.7,6848,621,4259
Nc1nn([N+](=O)[O-])c2c([N+](=O)[O-])c([N+](=O)[O-])nn12,C4H2N8O6,258.1,413.0 ,223.4 ,1.906 ,8.89 ,36.9,6352,650,4134
O=[N+]([O-])c1c2nn[nH]nc-2c([N+](=O)[O-])c1[N+](=O)[O-],C5HN7O6,255.1,551.0 ,271.8 ,1.942 ,8.89 ,37.3,6878,592,4077
O=[N+]([O-])c1cnn2c([N+](=O)[O-])nn([N+](=O)[O-])c12,C4HN7O6,243.1,459.9 ,223.7 ,1.880 ,8.89 ,36.6,6843,621,4256
O=c1c2c([N+](=O)[O-])nn([N+](=O)[O-])c2nc2n([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])n12,C7N10O11,400.1,409.2 ,202.2 ,1.947 ,8.88 ,37.3,6434,587,3781
O=[N+]([O-])c1nc2c3nc([N+](=O)[O-])n([N+](=O)[O-])c3nc([N+](=O)[O-])n2c1[N+](=O)[O-],C7N10O10,384.1,622.1 ,226.1 ,1.933 ,8.88 ,37.2,6743,583,3932
O=[N+]([O-])c1nc([N+](=O)[O-])n2nc([N+](=O)[O-])nc2n1,C4N8O6,256.1,486.3 ,215.2 ,1.911 ,8.88 ,36.9,6510,612,3986
Nn1nc([N+](=O)[O-])c2c([N+](=O)[O-])nn([N+](=O)[O-])c21,C4H2N8O6,258.1,472.0 ,244.0 ,1.880 ,8.88 ,36.6,6581,650,4283
O=c1c2[nH]nc([N+](=O)[O-])c2c(=O)n([N+](=O)[O-])n1[N+](=O)[O-],C5HN7O8,287.1,93.3 ,211.5 ,1.988 ,8.87 ,37.6,5889,604,3561
Nc1c([N+](=O)[O-])nn2nnn([N+](=O)[O-])c12,C3H2N8O4,214.1,505.6 ,219.8 ,1.889 ,8.86 ,36.5,6252,680,4251
