smiles,Td,pred_Td,dev_Td
OC1=C([N+]([O-])=O)C=C([N+]([O-])=O)N=C1[N+]([O-])=O,231.4,200.5889964,-30.81100356
NC1=C([N+]([O-])=O)C2=NN=NN2N=C1N=[N+]=[N-],162,172.2919292,10.29192922
O=[N+](N1CN([N+]([O-])=O)CN([N+]([O-])=O)C1)[O-],215,243.8635855,28.86358555
[O-][N+]1=C(N)[N+]([O-])=NC([N+]([O-])=O)=N1,109,121.7912243,12.79122433
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NCCCN1[N+]([O-])=O)[O-],134.4,121.3983871,-13.00161288
O=[N+](C([N+]([O-])=O)C1=NCN([N+]([O-])=O)CN1[N+]([O-])=O)[O-],102,124.8354322,22.83543225
O=[N+]([O-])N1C2C3N([N+](=O)[O-])C1C1N([N+](=O)[O-])C(C(N1[N+](=O)[O-])N3[N+](=O)[O-])N2[N+](=O)[O-],228,228.6756498,0.675649758
O=[N+]([O-])c1cc([N+](=O)[O-])c(N=c2[nH]c(Nc3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])c([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,366,311.3483759,-54.65162412
NC1=NC(N)=C([N+]([O-])=O)C=C1[N+]([O-])=O,270,288.0956313,18.09563129
NC1=NC(N=[N+]=[N-])=NN=C1[N+]([O-])=O,162,159.4033935,-2.596606468
NC(N=N1)=C([N+]([O-])=O)N2C1=C([N+]([O-])=O)C(C3=NN(C(N)=C([N+]([O-])=O)N=N4)C4=C3[N+]([O-])=O)=N2,315,298.2605361,-16.73946387
O=[N+](C1([N+]([O-])=O)CN([N+]([O-])=O)CN([N+]([O-])=O)C1)[O-],188,206.6498006,18.64980061
NC1=C([N+]([O-])=O)C2=NN=NN2N=C1N,293,262.0417508,-30.95824915
O=[N+](N1C2=NON=C2N(COC(C)=O)C3N([N+]([O-])=O)C4=NON=C4N(COC(C)=O)C31)[O-],210,224.3374634,14.33746342
O=[N+](N[C@@H]1N([N+]([O-])=O)CCN([N+]([O-])=O)[C@H]1N[N+]([O-])=O)[O-],140,138.0910318,-1.908968237
O=[N+](/C([N+]([O-])=O)=C1NCN([N+]([O-])=O)CN\1)[O-],158,170.1795915,12.1795915
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NCN([N+]([O-])=O)CN1)[O-],136,124.6692239,-11.3307761
[O-][N+]1=C(NC(N)=N)[N+]([O-])=NC([N+]([O-])=O)=N1,134,146.5248882,12.52488817
Nc1c([N+](=O)[O-])nnc2c([N+](=O)[O-])c([N+](=O)[O-])nn12,246,248.9247969,2.924796922
O=[N+](N1C2C(N([N+]([O-])=O)C13)N([N+]([O-])=O)C(N([N+]([O-])=O)C3N4[N+]([O-])=O)C4N2CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)[O-],212,205.0394898,-6.960510153
O=[N+](C1([N+]([O-])=O)[C@@H]2N([N+]([O-])=O)[C@H]3C([N+]([O-])=O)([N+]([O-])=O)[C@H](N([N+]([O-])=O)[C@@H]1C3)C2)[O-],235,234.0614418,-0.938558207
NC(N1C(N=N2)=NC([N+]([O-])=O)=N1)=C2[N+]([O-])=O,272,252.360515,-19.63948497
O=[N+](N1CN=C2N(CN([N+]([O-])=O)CC2([N+]([O-])=O)[N+]([O-])=O)C1)[O-],176,170.0949581,-5.90504189
NC1=NC(N)=C([N+]([O-])=O)N=N1,225,234.3415675,9.341567484
NC1=NC(NC2=NN3C=NN=C3N=N2)=C([N+]([O-])=O)N=C1[N+]([O-])=O,255,278.2344711,23.2344711
NC1=NC(N)=C([N+]([O-])=O)N=[N+]1[O-],196,203.8469373,7.846937292
NC1=C([N+]([O-])=O)C2=NN=C([N+]([O-])=O)N2N=C1N=[N+]=[N-],216.8,191.830434,-24.96956605
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NCN([N+]([O-])=O)CN1[N+]([O-])=O)[O-],141,129.1651284,-11.83487161
O=[N+](N1C2N([N+]([O-])=O)C3C1N(CN=[N+]=[N-])C4C(N3[N+]([O-])=O)N([N+]([O-])=O)C2N4[N+]([O-])=O)[O-],206,196.3060848,-9.693915155
O=[N+](C1=C(NC(N=C(NC2=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C2[N+]([O-])=O)C([N+]([O-])=O)=C3)=C3[N+]([O-])=O)C([N+]([O-])=O)=CC([N+]([O-])=O)=C1)[O-],360,327.916045,-32.08395497
NC1=C([N+]([O-])=O)C2=NON=C2[N+]([O-])=N1,175,200.7562344,25.75623438
NC1=C([N+]([O-])=O)C2=NON=C2N=N1,186,227.1442152,41.14421515
O=[N+](C1=NOC(/N=C2NCN([N+]([O-])=O)CN/2)=N1)[O-],195,197.7875265,2.787526455
Nc1nn2nnnc2c(N)c1[N+](=O)[O-],287,276.2487712,-10.75122876
Nc1c([N+](=O)[O-])c([N+](=O)[O-])nn2nnnc12,202,213.6576793,11.65767929
NC1=C([N+]([O-])=O)N=C([N+]([O-])=O)C(N)=[N+]1[O-],242,225.1415083,-16.85849169
O=C1N([N+]([O-])=O)C2N([N+]([O-])=O)C3C(N([N+]([O-])=O)C(N3[N+]([O-])=O)=O)N([N+]([O-])=O)C2N1[N+]([O-])=O,120,131.9036027,11.90360267
