smiles,Td,pred_Td,dev_Td
ON1N=NC([N+]([O-])=O)=N1,120,134.8955961,14.89559606
O=[N+]([O-])c1cn(CN(Cn2cc([N+](=O)[O-])nc2[N+](=O)[O-])[N+](=O)[O-])c([N+](=O)[O-])n1,257,243.2715512,-13.72844884
O=[N+](C(C([N+]([O-])=O)=C1)=NN1CC2=NN=C(CN3N=C([N+]([O-])=O)C([N+]([O-])=O)=C3)N2/N=N/N4C(CN5N=C([N+]([O-])=O)C([N+]([O-])=O)=C5)=NN=C4CN6N=C([N+]([O-])=O)C([N+]([O-])=O)=C6)[O-],162,194.9934755,32.99347552
O=[N+](C1=C(C(C(N(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N=C2[N+]([O-])=O)=C2[N+]([O-])=O)=NN1)[N+]([O-])=O)[O-],150,152.9397539,2.939753859
[O-][N+]1=C([N+]([O-])=O)C2=NON=C2N1,175,180.5825278,5.582527822
N#[N+]C1=C([N+]([O-])=O)C(C2=N[N-]C([N+]#N)=C2[N+]([O-])=O)=N[N-]1,150,164.0427078,14.04270783
O=[N+](C1=NNC(N2N=CC([N+]([O-])=O)=C2[N+]([O-])=O)=N1)[O-],330,256.4384801,-73.56151989
O=[N+](OCC1=NN([N+]([O-])=O)C(CO[N+]([O-])=O)=N1)[O-],135,150.1971943,15.19719431
O=[N+](C1=C(C(N(CCC2)N=C3[N+]([O-])=O)=C3[N+]([O-])=O)N2N=C1[N+]([O-])=O)[O-],280,288.5433862,8.543386241
OC1=C([N+]([O-])=O)NN=C1[N+]([O-])=O,172,206.338814,34.33881395
O=[N+](C1=NN2C(NC3=C([N+]([O-])=O)C([N+]([O-])=O)=NN3CCC2)=C1[N+]([O-])=O)[O-],276,291.1263754,15.12637538
O=[N+](C1=NNC(C2=NNN=N2)=N1)[O-],211,219.8326819,8.832681879
NC1=NN(C2=NN=NN2)C(N)=C1[N+]([O-])=O,272,261.3669743,-10.63302571
O=[N+](NC1=C([N+]([O-])=O)C([N+]([O-])=O)=NN1CCN2N=C([N+]([O-])=O)C([N+]([O-])=O)=C2N[N+]([O-])=O)[O-],80,108.0134001,28.01340012
NC1=C(C2=NN=NN2)N=NC3=C([N+]([O-])=O)C([N+]([O-])=O)=NN31,273,250.3418616,-22.65813845
O=[N+](C1=NNC(N=[N+]=[N-])=N1)[O-],174,157.3216239,-16.67837612
Nc1c([N+](=O)[O-])nn(C[N+](=O)[O-])c1[N+](=O)[O-],186,199.4883337,13.48833372
O=[N+](C1=NN2C(NC3=C([N+]([O-])=O)C([N+]([O-])=O)=NN3C2)=C1[N+]([O-])=O)[O-],261,276.1878264,15.18782639
O=[N+](C1=NN(CC2=NOC(/N=N/C3=NC(CN(N=C4[N+]([O-])=O)C([N+]([O-])=O)=C4[N+]([O-])=O)=NO3)=N2)C([N+]([O-])=O)=C1[N+]([O-])=O)[O-],250.2,203.8511012,-46.34889882
CN(c1c([N+](=O)[O-])n[nH]c1[N+](=O)[O-])[N+](=O)[O-],178,173.03061,-4.969389992
O=[N+](C1=NN(CC2=NN=NN2)C(/N=N/C3=NC([N+]([O-])=O)=NN3CC4=NN=NN4)=N1)[O-],171,217.3980262,46.39802615
[O-][N+]1=C(N)[N+]([O-])=NC(N2C(N)=NC([N+]([O-])=O)=N2)=N1,168,186.7202619,18.72026192
NC1=C([N+]([O-])=O)N=NN1N,193.9,231.1933061,37.2933061
NN1C(CN2N=C([N+]([O-])=O)C3=C2[N+]([O-])=NN3)=NN=C1CN4N=C([N+]([O-])=O)C5=C4[N+]([O-])=NN5,308,315.3678277,7.367827724
