smiles,Td,pred_Td,dev_Td
O=[N+]([O-])c1cn(CN(Cn2cc([N+](=O)[O-])nc2[N+](=O)[O-])[N+](=O)[O-])c([N+](=O)[O-])n1,257,243.2715512,-13.72844884
O=[N+](NC1=NC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NN1)[O-],125,111.0115375,-13.98846252
CN([N+]([O-])=O)CN1N=NC(N([N+]([O-])=O)CN([N+]([O-])=O)C)=N1,123.5,143.1251041,19.62510409
O=[N+](N(CN([N+]([O-])=O)C1=NON=C1C#N)C2=NON=C2C#N)[O-],132,130.521918,-1.478082047
OC(CCN([N+]([O-])=O)C(C(N([N+]([O-])=O)CCC(O)=O)=O)=O)=O,188,160.8825686,-27.11743141
Nc1nnc(N[N+](=O)[O-])nn1,164,150.4041665,-13.59583352
NC1=NN=C(C2=NN=C(N)N2N[N+]([O-])=O)N1N[N+]([O-])=O,259,215.5110979,-43.48890214
O=C(N[N+]([O-])=O)OCC(COC(N[N+]([O-])=O)=O)(COC(N[N+]([O-])=O)=O)COC(N[N+]([O-])=O)=O,196,177.545524,-18.45447601
O=[N+]([O-])Nc1n[nH]c(Cc2nonc2/N=N\c2nonc2Cc2nc(N[N+](=O)[O-])n[nH]2)n1,196.3,170.6827975,-25.61720252
O=C(OCC)N(C1=NON=C1N([N+]([O-])=O)C(OCC)=O)[N+]([O-])=O,124,131.9708511,7.970851073
[O-][N+]1=C(C2=NN=NN2)C(C3=NOC(N[N+]([O-])=O)=N3)=NO1,121,142.0082269,21.00822688
O=[N+](NC1=NON=C1C2=NNC(C3=NC(C4=NON=C4N[N+]([O-])=O)=NN3)=N2)[O-],112,165.3683038,53.36830377
O=C(N1)ON=C1C2=NON=C2N[N+]([O-])=O,127,146.6409452,19.64094523
O=[N+](N(CN(C1=NON=C1C2=NN=NN2)[N+]([O-])=O)C3=NON=C3C4=NN=NN4)[O-],149,146.7476057,-2.252394268
O=[N+](NC1=C([N+]([O-])=O)C([N+]([O-])=O)=NN1CCN2N=C([N+]([O-])=O)C([N+]([O-])=O)=C2N[N+]([O-])=O)[O-],80,108.0134001,28.01340012
O=C(OC1(CC2(OC(N[N+]([O-])=O)=O)C3)CC(C2)(OC(N[N+]([O-])=O)=O)CC3(OC(N[N+]([O-])=O)=O)C1)N[N+]([O-])=O,180,168.7570284,-11.24297165
O=[N+]([O-])/N=c1\[nH]nc(-c2n[nH]/c(=N\[N+](=O)[O-])n2N[N+](=O)[O-])n1N[N+](=O)[O-],137,115.7250418,-21.27495821
O=[N+](N1CN([N+]([O-])=O)CN([N+]([O-])=O)C1)[O-],215,243.8635855,28.86358555
CN=[N+]([O-])C1=NON=C1N([N+]([O-])=O)CN([N+]([O-])=O)C2=NON=C2/[N+]([O-])=N\C,162,151.8366193,-10.16338074
CCOC(CN([N+]([O-])=O)C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O)=O,190,165.7421894,-24.25781056
CN(c1c([N+](=O)[O-])n[nH]c1[N+](=O)[O-])[N+](=O)[O-],178,173.03061,-4.969389992
O=C(OCCOC(N[N+]([O-])=O)=O)N[N+]([O-])=O,157,153.862001,-3.137999022
O=C(OCC(OC(N[N+]([O-])=O)=O)C(OC(N[N+]([O-])=O)=O)COC(N[N+]([O-])=O)=O)N[N+]([O-])=O,175,166.3244363,-8.675563702
O=[N+]([O-])c1nc([N+](=O)[O-])n(CN(Cn2nc([N+](=O)[O-])nc2[N+](=O)[O-])[N+](=O)[O-])n1,209,195.7505433,-13.24945667
O=[N+](C1=NON=C1N[N+]([O-])=O)[O-],64,97.25074319,33.25074319
O=C(NN1C=NN=C1N)C2=NN=C(N[N+]([O-])=O)N2,244.6,208.7973509,-35.80264908
NC1=NN=NN1CN(C)[N+]([O-])=O,183.6,188.6635918,5.063591819
CN([N+]([O-])=O)CNC(OCN([N+]([O-])=O)C)=O,180,175.129049,-4.870950987
O=[N+](N=C1NN=C(C2=NN=C(C[N+]([O-])=O)O2)N1)[O-],150,164.1158491,14.11584905
[O-]/[N+](C1=NON=C1/N=N/C2=NON=C2[N+]([O-])=O)=N\[N+]([O-])=O,108.6,125.1345926,16.53459256
O=[N+]([O-])Nc1nonc1C1=NOC(c2nonc2N[N+](=O)[O-])=NO1,106,116.4224691,10.42246907
[O-]/[N+](C1=NON=C1/N=[N+]([O-])/C2=NON=C2/[N+]([O-])=N/[N+]([O-])=O)=N\[N+]([O-])=O,94.3,119.2470802,24.94708016
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NCCCN1[N+]([O-])=O)[O-],134.4,121.3983871,-13.00161288
[O-][N+]1=C(C2=NOC(N[N+]([O-])=O)=N2)C(/N=N/C3=NO[N+]([O-])=C3C4=NOC(N[N+]([O-])=O)=N4)=NO1,125.6,132.1192501,6.519250096
O=[N+](/N=C(N1)\NN=C1C2=NN=NN2)[O-],215,186.0299014,-28.97009855
CN([N+]([O-])=O)CN1N=C([N+]([O-])=O)N=C1C2=NC([N+]([O-])=O)=NN2CN(C)[N+]([O-])=O,228,198.0471079,-29.95289212
O=[N+](NC1=NON=C1C2=NC(C([N+]([O-])=O)[N+]([O-])=O)=NN2)[O-],90.92,101.9867327,11.06673272
O=[N+](C([N+]([O-])=O)C1=NCN([N+]([O-])=O)CN1[N+]([O-])=O)[O-],102,124.8354322,22.83543225
O=[N+](N(CN1C(N=[N+]=[N-])=C([N+]([O-])=O)C([N+]([O-])=O)=N1)CN2C(N=[N+]=[N-])=C([N+]([O-])=O)C([N+]([O-])=O)=N2)[O-],169,133.6948996,-35.3051004
O=[N+](C1=NN(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)C(N[N+]([O-])=O)=N1)[O-],121,106.0424839,-14.9575161
[N-]=[N+]=NCCN1N=NN/C1=N\[N+]([O-])=O,139.9,143.8985257,3.998525709
O=[N+](NC(N=N1)=NN2C1=NN=C2)[O-],148,164.1131658,16.1131658
O=[N+](NC(N=N1)=NN2C1=NN=C2N=NC3=NN=C(N=N4)N3N=C4N[N+]([O-])=O)[O-],170,172.021272,2.021272033
CCN([N+]([O-])=O)CN([N+]([O-])=O)CC,216.2,222.2630913,6.063091339
O=[N+]([O-])N1C2C3N([N+](=O)[O-])C1C1N([N+](=O)[O-])C(C(N1[N+](=O)[O-])N3[N+](=O)[O-])N2[N+](=O)[O-],228,228.6756498,0.675649758
O=[N+](C1=NON=C1N([N+]([O-])=O)CN([N+]([O-])=O)CN([N+]([O-])=O)C2=NON=C2[N+]([O-])=O)[O-],150,152.8658589,2.86585889
O=[N+](C1=CN(CN([N+]([O-])=O)CN2C=C([N+]([O-])=O)C=N2)N=C1)[O-],262,261.5759093,-0.424090732
CN([N+]([O-])=O)CN([N+]([O-])=O)C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,147,155.2099386,8.209938633
[O-]/[N+](C1=NON=C1N([N+]([O-])=O)CN([N+]([O-])=O)C2=NON=C2/[N+]([O-])=N/N3N=C([N+]([O-])=O)N=C3)=N\N4N=C([N+]([O-])=O)N=C4,146.5,144.6021056,-1.897894442
NC(N1N[N+]([O-])=O)=NN=C1C2=NN=C(N[N+]([O-])=O)N2,136,169.7293914,33.72939145
O=[N+](N1C(N2CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)C3N([N+]([O-])=O)C1C4N([N+]([O-])=O)C(N3CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)C2N4[N+]([O-])=O)[O-],216,198.7777763,-17.22222366
O=[N+](NC1=NNC=N1)[O-],208,162.9646244,-45.03537561
O=[N+](NC1=NON=C1/N=N\C2=NON=C2N[N+]([O-])=O)[O-],100,122.3638635,22.36386349
C/N=[N+](\[O-])c1nonc1N(CN(c1nonc1/[N+]([O-])=N\C)[N+](=O)[O-])[N+](=O)[O-],162,151.9757539,-10.0242461
O=[N+](NC1=NN(CCO[N+]([O-])=O)N=N1)[O-],90,125.4961265,35.49612651
O=[N+](NCC(N[N+]([O-])=O)CN[N+]([O-])=O)[O-],185,181.2257776,-3.774222436
CN1N=C([N+]([O-])=O)C(N[N+]([O-])=O)=N1,112,124.1692307,12.16923072
O=C(O)CN([N+]([O-])=O)C(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O,136,137.2106544,1.210654417
[O-][N+]1=C(C2=[N+]([O-])ON=C2N[N+]([O-])=O)C(N[N+]([O-])=O)=NO1,91,87.91590068,-3.084099318
CC1N=C(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N([N+]([O-])=O)C1,117,114.7910237,-2.208976295
[C-]#[N+]c1nonc1N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],156,134.4027689,-21.59723105
O=[N+](/N=C1N(CCN2N=C([N+]([O-])=O)C([N+]([O-])=O)=C2[N+]([O-])=O)N=NN/1)[O-],148,151.2210707,3.221070732
CN([N+]([O-])=O)CCN=[N+]=[N-],236,188.9636248,-47.03637525
O=C(OCCNC(C(NCCOC(N[N+]([O-])=O)=O)=O)=O)N[N+]([O-])=O,175,182.7527888,7.752788841
CC1=[N+]([O-])ON=C1N([N+]([O-])=O)CN([N+]([O-])=O)C2=NO[N+]([O-])=C2C,124.5,134.5774595,10.07745954
O=[N+](N(CN1C=C([N+]([O-])=O)C([N+]([O-])=O)=N1)CN2C=C([N+]([O-])=O)C([N+]([O-])=O)=N2)[O-],261,231.0358548,-29.96414521
CN(CC(NC(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O)=O)[N+]([O-])=O,150,151.4772452,1.477245239
[N-]=[N+]=Nc1n[nH]c(N[N+](=O)[O-])n1,143,128.0594066,-14.94059338
O=C(N[N+]([O-])=O)NC1=NON=C1[N+]([O-])=O,122,105.5844258,-16.4155742
Nc1nnn(Cc2n[nH]c(N[N+](=O)[O-])n2)n1,218,201.8121513,-16.18784871
O=[N+](/N=C1NN=NN\1CCO[N+]([O-])=O)[O-],122,142.3257773,20.32577731
