smiles,Td,pred_Td,dev_Td
OC(C1O[N+]([O-])=O)C(C(C(O)C1[N+]([O-])=O)O[N+]([O-])=O)[N+]([O-])=O,160,154.0622727,-5.93772726
O=[N+](OCC(CO[N+]([O-])=O)(COCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O)CO[N+]([O-])=O)[O-],191.15,175.252016,-15.89798399
O=[N+](OCC1=NN([N+]([O-])=O)C(CO[N+]([O-])=O)=N1)[O-],135,150.1971943,15.19719431
CCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O,177,179.7111481,2.711148093
O=[N+](OCC(O[N+]([O-])=O)COCC(O[N+]([O-])=O)CO[N+]([O-])=O)[O-],178,174.4151605,-3.584839546
O=[N+](OCCC1=C(CCO[N+]([O-])=O)C(C2=NOC(CCO[N+]([O-])=O)=C2CCO[N+]([O-])=O)=NO1)[O-],188,161.2912841,-26.70871594
O=[N+](OCC1=NN=C(CO[N+]([O-])=O)N1/N=N/N2C(CO[N+]([O-])=O)=NN=C2CO[N+]([O-])=O)[O-],146,140.5222043,-5.4777957
O=[N+](OCC1=NON=C1/N=N\C2=NON=C2CO[N+]([O-])=O)[O-],184,157.781879,-26.21812102
CC1(O[N+]([O-])=O)COC1,141,145.6999725,4.699972527
[O-]/[N+](C1=NN(CCO[N+]([O-])=O)N=N1)=N\C2=NN(CCO[N+]([O-])=O)N=N2,175,168.6923663,-6.307633746
O=[N+](OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)NC1=NN=C(N2C=CC=N2)N=N1)[O-],147,140.1278217,-6.872178307
O=[N+](NC1=NN(CCO[N+]([O-])=O)N=N1)[O-],90,125.4961265,35.49612651
O=C(O)CN([N+]([O-])=O)C(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O,136,137.2106544,1.210654417
O=[N+](/N=C1NN=NN\1CCO[N+]([O-])=O)[O-],122,142.3257773,20.32577731
CC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O,181,180.2319932,-0.768006755
O=[N+]([O-])/N=c1\[nH]nc(CO[N+](=O)[O-])[nH]1,208.55,167.6395495,-40.91045048
O=[N+](NC1=NN=NN1CCO[N+]([O-])=O)[O-],99,116.2817736,17.28177362
O=[N+](C1=NN(CO[N+]([O-])=O)C2=C1N(CO[N+]([O-])=O)N=C2[N+]([O-])=O)[O-],206,197.6999772,-8.300022842
O=[N+](/N=C1NN=C(CO[N+]([O-])=O)O/1)[O-],208.55,148.4392994,-60.11070064
O=C1OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)N1[N+]([O-])=O,160,142.8338228,-17.16617722
O=[N+]([O-])OCc1nc([N+](=O)[O-])n[nH]1,163.18,178.8174052,15.63740523
O=[N+](OCC(CO[N+]([O-])=O)O[N+]([O-])=O)[O-],197,168.4825166,-28.51748342
