smiles,Td,pred_Td,dev_Td
O=[N+]([O-])c1no[n+]([O-])c1-c1noc(/N=N/c2nc(-c3c([N+](=O)[O-])no[n+]3[O-])no2)n1,180,178.3894741,-1.610525851
O=[N+]([O-])c1no[n+]([O-])c1/N=N\c1c([N+](=O)[O-])no[n+]1[O-],160.3,145.8811401,-14.41885991
O=[N+](C1=NOC(NC(N=N2)=NN3C2=NN=C3)=N1)[O-],226,227.3442283,1.344228319
[O-][N+]1=C(C2=[N+]([O-])ON=C2[N+]([O-])=O)C(C3=[N+]([O-])ON=C3[N+]([O-])=O)=NO1,146,136.9352905,-9.064709454
O=C(OCC)NC1=NON=C1[N+]([O-])=O,153,159.3936624,6.393662361
NC1=NON=C1[N+]([O-])=O,143,171.2699375,28.26993755
O=[N+](C1=NON=C1N[N+]([O-])=O)[O-],64,97.25074319,33.25074319
[O-]/[N+](C1=NON=C1/N=N/C2=NON=C2[N+]([O-])=O)=N\[N+]([O-])=O,108.6,125.1345926,16.53459256
O=[N+](C1=NON=C1C([N+]([O-])=O)[N+]([O-])=O)[O-],56,102.8789044,46.87890442
O=[N+](C1=NOC(NC2=NN=C(NC3=NC([N+]([O-])=O)=NO3)N=N2)=N1)[O-],204,218.605508,14.60550802
O=[N+](C1=NON=C1N([N+]([O-])=O)CN([N+]([O-])=O)CN([N+]([O-])=O)C2=NON=C2[N+]([O-])=O)[O-],150,152.8658589,2.86585889
[O-][N+]1=NC(NC2=NC([N+]([O-])=O)=NO2)=NN=C1NC3=NC([N+]([O-])=O)=NO3,228,206.7203001,-21.27969991
O=[N+](C1=NON=C1C2=NN=C(N=NC3=NN=C(C4=NON=C4[N+]([O-])=O)O3)O2)[O-],278,228.0815866,-49.91841343
O=[N+]([O-])c1no[n+]([O-])c1-c1nnn[nH]1,169,147.4277309,-21.57226911
O=[N+](C(C=C1[N+]([O-])=O)=NN1C2=NON=C2[N+]([O-])=O)[O-],225,222.4214731,-2.578526858
[O-][N+]1=C(C([N+]([O-])=O)=NO1)C2=CC=C([N+]([O-])=O)C(C3=[N+]([O-])ON=C3[N+]([O-])=O)=C2,172,199.0346423,27.03464226
[O-][N+]1=C([N+]([O-])=O)C(C2=NO[N+]([O-])=C2C3=NO[N+]([O-])=C3[N+]([O-])=O)=NO1,130.1,134.5364817,4.436481653
O=C(N[N+]([O-])=O)NC1=NON=C1[N+]([O-])=O,122,105.5844258,-16.4155742
[O-][N+]1=C(C2=NON=C2[N+]([O-])=O)C(C3=NON=C3[N+]([O-])=O)=NO1,231,186.0853909,-44.91460915
[O-][N+](ON=C1[N+]([O-])=O)=C1C2=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C2,152.9,187.3017912,34.40179124
[O-][N+]1=C([N+]([O-])=O)C(C2=NON=C2[N+]([O-])=O)=NO1,145,141.6197578,-3.380242176
[O-][N+]1=C(C2=NN=C(N[N+]([O-])=O)O2)C([N+]([O-])=O)=NO1,85,102.6618179,17.66181788
[O-]/[N+](C1=NON=C1/N=[N+]([O-])/C2=NON=C2[N+]([O-])=O)=N\[N+]([O-])=O,114,126.4834279,12.48342788
O=C1OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)N1[N+]([O-])=O,160,142.8338228,-17.16617722
[O-][N+](ON=C1C2=C([N+]([O-])=O)C=C(C=C2)C3=NO[N+]([O-])=C3[N+]([O-])=O)=C1[N+]([O-])=O,198.8,179.5703353,-19.22966469
[O-][N+]1=C(C2=[N+]([O-])ON=C2[N+]([O-])=O)C([N+]([O-])=O)=NO1,140,131.9379008,-8.062099206
O=[N+]([O-])c1nonc1N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],135,122.7641395,-12.23586046
[O-][N+]1=C(C(N=[N+]=[N-])=NO1)C2=[N+]([O-])ON=C2[N+]([O-])=O,112.7,104.6865199,-8.013480094
[O-][N+](ON=C1[N+]([O-])=O)=C1C#N,132.85,139.4276843,6.577684292
O=[N+](C1=NON=C1C2=NN(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)C=C2[N+]([O-])=O)[O-],134,144.0148206,10.01482061
O=[N+](C1=NOC(NC(N=N2)=NN3C2=NN=C3[N+]([O-])=O)=N1)[O-],209.5,215.9082813,6.408281318
[O-][N+](ON=C1[N+]([O-])=O)=C1C(N)=O,113.27,134.5726185,21.3026185
O=[N+](C1=NC(C2=NON=C2[N+]([O-])=O)=NN1)[O-],191,212.2899209,21.28992091
[O-]/[N+](C1=NON=C1[N+]([O-])=O)=N\[N+]([O-])=O,109,101.57674,-7.423259966
O=[N+](NC1=NNC(C2=NON=C2[N+]([O-])=O)=N1)[O-],163,150.2392345,-12.76076551
O=[N+](C1=NON=C1C2=C([N+]([O-])=O)C([N+]([O-])=O)=NN2C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)[O-],134,137.4481719,3.448171853
O=[N+](C1=NON=C1C2=NN=NN2)[O-],215,180.577093,-34.422907
NC1=NN=C2N=NC(NC3=NON=C3[N+]([O-])=O)=NN21,249.5,260.4856325,10.9856325
O=[N+](C1=NON=C1C2=NOC(C3=NON=C3[N+]([O-])=O)=N2)[O-],272,225.007494,-46.99250603
[O-][N+]1=C(C([N+]([O-])=O)=NO1)C2=NON=C2[N+]([O-])=O,140,139.5230877,-0.476912297
[O-]/[N+](C1=NON=C1[N+]([O-])=O)=N\N2N=C([N+]([O-])=O)N=C2,227,160.676362,-66.323638
NC(NC1=NON=C1[N+]([O-])=O)=O,182,168.4011108,-13.59888917
O=[N+](C1=NON=C1NC(N=N2)=NN3C2=NN=C3)[O-],229.1,234.8131606,5.713160625
NC(O1)=NN=C1C2=NON=C2[N+]([O-])=O,155,200.9424029,45.94240292
[O-][N+](ON=C1C2CC2)=C1[N+]([O-])=O,210.83,194.5393056,-16.29069435
O=[N+](C1=NON=C1C2=NOC(C3=NC(C4=NON=C4[N+]([O-])=O)=NO3)=N2)[O-],265,253.9531225,-11.04687745
[O-][N+]1=C(C2=NN=C(/N=N/C3=NN=C(O3)C4=[N+]([O-])ON=C4[N+]([O-])=O)O2)C([N+]([O-])=O)=NO1,193.9,196.4296552,2.529655171
[O-][N+]1=C([N+]([O-])=O)C(/N=N\C2=NO[N+]([O-])=C2[N+]([O-])=O)=NO1,212.5,149.111691,-63.38830904
NC(O1)=NN=C1C2=[N+]([O-])ON=C2[N+]([O-])=O,150,162.4904707,12.49047072
NC1=NC(C2=[N+]([O-])ON=C2[N+]([O-])=O)=NO1,176,162.1749989,-13.82500113
O=[N+](C1=NON=C1OC2=NON=C2OC3=NON=C3[N+]([O-])=O)[O-],156.4,198.2264661,41.8264661
O=[N+]([O-])c1nonc1Nc1n[nH]nc1-c1nnn[nH]1,236,215.7479321,-20.25206795
CC1=[N+]([O-])ON=C1[N+]([O-])=O,188,154.9599463,-33.04005369
[O-][N+](ON=C1[N+]([O-])=O)=C1/N=N/C2=[N+](ON=C2[N+]([O-])=O)[O-],116,141.1719249,25.17192493
O=[N+](C1=NON=C1N=[N+]=[N-])[O-],135,129.9959559,-5.00404405
O=[N+](C1=NOC(/N=C2NCN([N+]([O-])=O)CN/2)=N1)[O-],195,197.7875265,2.787526455
CN([N+]([O-])=O)CN([N+]([O-])=O)C1=NON=C1[N+]([O-])=O,126,131.7592051,5.759205148
O=[N+](C1=NON=C1C2=NNC(C3=NC(C4=NON=C4[N+]([O-])=O)=NN3)=N2)[O-],298,251.8754448,-46.1245552
[O-][N+](ON=C1C2=NO[N+]([O-])=C2C)=C1[N+]([O-])=O,128.7,157.7716677,29.07166765
[O-][N+]1=C(C(N=[N+]=[N-])=NO1)C2=NO[N+]([O-])=C2[N+]([O-])=O,118.9,120.052033,1.152032972
O=[N+](C1=NON=C1C2=NOC=N2)[O-],157.7,192.3471639,34.64716393
