smiles,Td,pred_Td,dev_Td
O=[N+](C1=NNC2C([N+]([O-])=O)=NNC21)[O-],336,278.6719197,-57.32808025
ON1N=NC([N+]([O-])=O)=N1,120,134.8955961,14.89559606
O=[N+]([O-])c1cn(CN(Cn2cc([N+](=O)[O-])nc2[N+](=O)[O-])[N+](=O)[O-])c([N+](=O)[O-])n1,257,243.2715512,-13.72844884
O=[N+](C1=C(C2=NN=C(C[N+]([O-])=O)O2)C([N+]([O-])=O)=CC([N+]([O-])=O)=C1)[O-],243.2,208.1443108,-35.05568918
O=[N+](C(C([N+]([O-])=O)=C1)=NN1CC2=NN=C(CN3N=C([N+]([O-])=O)C([N+]([O-])=O)=C3)N2/N=N/N4C(CN5N=C([N+]([O-])=O)C([N+]([O-])=O)=C5)=NN=C4CN6N=C([N+]([O-])=O)C([N+]([O-])=O)=C6)[O-],162,194.9934755,32.99347552
O=[N+](C1=C(C(C(N(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N=C2[N+]([O-])=O)=C2[N+]([O-])=O)=NN1)[N+]([O-])=O)[O-],150,152.9397539,2.939753859
O=[N+]([O-])c1no[n+]([O-])c1-c1noc(/N=N/c2nc(-c3c([N+](=O)[O-])no[n+]3[O-])no2)n1,180,178.3894741,-1.610525851
O=[N+](C1=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C1NC2=NNC=N2)[O-],228,267.1665329,39.16653288
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],295,271.0678682,-23.93213183
[O-][N+]1=C([N+]([O-])=O)C2=NON=C2N1,175,180.5825278,5.582527822
N#[N+]C1=C([N+]([O-])=O)C(C2=N[N-]C([N+]#N)=C2[N+]([O-])=O)=N[N-]1,150,164.0427078,14.04270783
O=[N+](C1=NNC(N2N=CC([N+]([O-])=O)=C2[N+]([O-])=O)=N1)[O-],330,256.4384801,-73.56151989
O=[N+](C1=C(C(N(CCC2)N=C3[N+]([O-])=O)=C3[N+]([O-])=O)N2N=C1[N+]([O-])=O)[O-],280,288.5433862,8.543386241
O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2ccnc2)c([N+](=O)[O-])c1,216,238.7539121,22.7539121
OC1=C([N+]([O-])=O)C=C([N+]([O-])=O)N=C1[N+]([O-])=O,231.4,200.5889964,-30.81100356
OC1=C([N+]([O-])=O)NN=C1[N+]([O-])=O,172,206.338814,34.33881395
NC1=C([N+]([O-])=O)C2=NN=NN2N=C1N=[N+]=[N-],162,172.2919292,10.29192922
[O-]N1C2=C(N)C([N+]([O-])=O)=CC([N+]([O-])=O)=C2[NH+]=N1,220,269.0001785,49.00017849
[O-]C1=C(C(N)=C(C=C1[N+]#N)[N+]([O-])=O)[N+]([O-])=O,169.9,181.1473662,11.24736625
O=[N+](C1=NN2C(NC3=C([N+]([O-])=O)C([N+]([O-])=O)=NN3CCC2)=C1[N+]([O-])=O)[O-],276,291.1263754,15.12637538
O=[N+]([O-])c1cc([N+](=O)[O-])c2cc1Oc1cc(c([N+](=O)[O-])cc1[N+](=O)[O-])Oc1cc(c([N+](=O)[O-])cc1[N+](=O)[O-])Oc1cc(c([N+](=O)[O-])cc1[N+](=O)[O-])O2,375.5,374.0681857,-1.431814329
O=[N+]([O-])c1no[n+]([O-])c1/N=N\c1c([N+](=O)[O-])no[n+]1[O-],160.3,145.8811401,-14.41885991
O=[N+](C1=NNC(C2=NNN=N2)=N1)[O-],211,219.8326819,8.832681879
NC1=NN(C2=NN=NN2)C(N)=C1[N+]([O-])=O,272,261.3669743,-10.63302571
O=[N+](C1=NOC(NC(N=N2)=NN3C2=NN=C3)=N1)[O-],226,227.3442283,1.344228319
O=[N+](NC1=C([N+]([O-])=O)C([N+]([O-])=O)=NN1CCN2N=C([N+]([O-])=O)C([N+]([O-])=O)=C2N[N+]([O-])=O)[O-],80,108.0134001,28.01340012
NC1=C(C2=NN=NN2)N=NC3=C([N+]([O-])=O)C([N+]([O-])=O)=NN31,273,250.3418616,-22.65813845
[O-][N+]1=C(C2=[N+]([O-])ON=C2[N+]([O-])=O)C(C3=[N+]([O-])ON=C3[N+]([O-])=O)=NO1,146,136.9352905,-9.064709454
O=[N+](C1=NNC(N=[N+]=[N-])=N1)[O-],174,157.3216239,-16.67837612
Nc1c([N+](=O)[O-])nn(C[N+](=O)[O-])c1[N+](=O)[O-],186,199.4883337,13.48833372
O=[N+](C1=NN2C(NC3=C([N+]([O-])=O)C([N+]([O-])=O)=NN3C2)=C1[N+]([O-])=O)[O-],261,276.1878264,15.18782639
O=[N+](C1=NN(CC2=NOC(/N=N/C3=NC(CN(N=C4[N+]([O-])=O)C([N+]([O-])=O)=C4[N+]([O-])=O)=NO3)=N2)C([N+]([O-])=O)=C1[N+]([O-])=O)[O-],250.2,203.8511012,-46.34889882
CN(c1c([N+](=O)[O-])n[nH]c1[N+](=O)[O-])[N+](=O)[O-],178,173.03061,-4.969389992
O=[N+](C1=NN(CC2=NN=NN2)C(/N=N/C3=NC([N+]([O-])=O)=NN3CC4=NN=NN4)=N1)[O-],171,217.3980262,46.39802615
O=C(OCC)NC1=NON=C1[N+]([O-])=O,153,159.3936624,6.393662361
