smiles,Td
ON1N=NC([N+]([O-])=O)=N1,120
O=[N+]([O-])c1cn(CN(Cn2cc([N+](=O)[O-])nc2[N+](=O)[O-])[N+](=O)[O-])c([N+](=O)[O-])n1,257
O=[N+](NC1=NC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NN1)[O-],125
CN([N+]([O-])=O)CN1N=NC(N([N+]([O-])=O)CN([N+]([O-])=O)C)=N1,123.5
O=[N+](C1=C(C2=NN=C(C[N+]([O-])=O)O2)C([N+]([O-])=O)=CC([N+]([O-])=O)=C1)[O-],243.2
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=CC=C1)[O-],101
O=[N+](C(C([N+]([O-])=O)=C1)=NN1CC2=NN=C(CN3N=C([N+]([O-])=O)C([N+]([O-])=O)=C3)N2/N=N/N4C(CN5N=C([N+]([O-])=O)C([N+]([O-])=O)=C5)=NN=C4CN6N=C([N+]([O-])=O)C([N+]([O-])=O)=C6)[O-],162
NC1=NNC(C2=NN=C(C[N+]([O-])=O)O2)=N1,249.6
O=[N+](C1=C(C(C(N(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N=C2[N+]([O-])=O)=C2[N+]([O-])=O)=NN1)[N+]([O-])=O)[O-],150
O=[N+]([O-])C(=C1N[C@@H]2OCCO[C@H]2N1)[N+](=O)[O-],191.73
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)CNC1=NN=NN1CCCN2N=NN=C2NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)[O-],143
O=[N+]([O-])c1no[n+]([O-])c1-c1noc(/N=N/c2nc(-c3c([N+](=O)[O-])no[n+]3[O-])no2)n1,180
O=[N+](C1=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C1NC2=NNC=N2)[O-],228
[NH2+]=C1OC([C-]([N+]([O-])=O)[N+]([O-])=O)=NN1,137.7
OC(C1O[N+]([O-])=O)C(C(C(O)C1[N+]([O-])=O)O[N+]([O-])=O)[N+]([O-])=O,160
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],295
O=[N+](N(CN([N+]([O-])=O)C1=NON=C1C#N)C2=NON=C2C#N)[O-],132
[O-][N+]1=C([N+]([O-])=O)C2=NON=C2N1,175
N#[N+]C1=C([N+]([O-])=O)C(C2=N[N-]C([N+]#N)=C2[N+]([O-])=O)=N[N-]1,150
O=[N+](OCC(CO[N+]([O-])=O)(COCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O)CO[N+]([O-])=O)[O-],191.15
OC(CCN([N+]([O-])=O)C(C(N([N+]([O-])=O)CCC(O)=O)=O)=O)=O,188
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)CNC1=NN=NN1)[O-],150
O=[N+](C1=NNC(N2N=CC([N+]([O-])=O)=C2[N+]([O-])=O)=N1)[O-],330
Nc1nnc(N[N+](=O)[O-])nn1,164
O=[N+](OCC1=NN([N+]([O-])=O)C(CO[N+]([O-])=O)=N1)[O-],135
O=[N+](C1=C(C(N(CCC2)N=C3[N+]([O-])=O)=C3[N+]([O-])=O)N2N=C1[N+]([O-])=O)[O-],280
NC1=NN=C(C2=NN=C(N)N2N[N+]([O-])=O)N1N[N+]([O-])=O,259
O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2ccnc2)c([N+](=O)[O-])c1,216
N/C(N1C(C)(O)CC(C)=N1)=C([N+]([O-])=O)/[N+]([O-])=O,163.2
OC1=C([N+]([O-])=O)C=C([N+]([O-])=O)N=C1[N+]([O-])=O,231.4
OC1=C([N+]([O-])=O)NN=C1[N+]([O-])=O,172
NC1=C([N+]([O-])=O)C2=NN=NN2N=C1N=[N+]=[N-],162
N/C(NNC(N)=O)=C([N+]([O-])=O)\[N+]([O-])=O,170
[O-]N1C2=C(N)C([N+]([O-])=O)=CC([N+]([O-])=O)=C2[NH+]=N1,220
[O-]C1=C(C(N)=C(C=C1[N+]#N)[N+]([O-])=O)[N+]([O-])=O,169.9
O=[N+](C1=NN2C(NC3=C([N+]([O-])=O)C([N+]([O-])=O)=NN3CCC2)=C1[N+]([O-])=O)[O-],276
O=C(N[N+]([O-])=O)OCC(COC(N[N+]([O-])=O)=O)(COC(N[N+]([O-])=O)=O)COC(N[N+]([O-])=O)=O,196
O=[N+]([O-])Nc1n[nH]c(Cc2nonc2/N=N\c2nonc2Cc2nc(N[N+](=O)[O-])n[nH]2)n1,196.3
O=C(OCC)N(C1=NON=C1N([N+]([O-])=O)C(OCC)=O)[N+]([O-])=O,124
O=[N+]([O-])c1cc([N+](=O)[O-])c2cc1Oc1cc(c([N+](=O)[O-])cc1[N+](=O)[O-])Oc1cc(c([N+](=O)[O-])cc1[N+](=O)[O-])Oc1cc(c([N+](=O)[O-])cc1[N+](=O)[O-])O2,375.5
O=[N+](C(CNN1N=NN=C1)([N+]([O-])=O)[N+]([O-])=O)[O-],116
O=[N+]([O-])c1no[n+]([O-])c1/N=N\c1c([N+](=O)[O-])no[n+]1[O-],160.3
O=[N+](C1=NNC(C2=NNN=N2)=N1)[O-],211
NC1=NN(C2=NN=NN2)C(N)=C1[N+]([O-])=O,272
O=[N+](NC1=NON=C1C2=NNC(C3=NC(C4=NON=C4N[N+]([O-])=O)=NN3)=N2)[O-],112
O=C(N1)ON=C1C2=NON=C2N[N+]([O-])=O,127
O=[N+](N(CN(C1=NON=C1C2=NN=NN2)[N+]([O-])=O)C3=NON=C3C4=NN=NN4)[O-],149
O=[N+](NC1=C([N+]([O-])=O)C([N+]([O-])=O)=NN1CCN2N=C([N+]([O-])=O)C([N+]([O-])=O)=C2N[N+]([O-])=O)[O-],80
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)CNC1=NN=NN1CCN(CCN2N=NN=C2NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)CCN3C(NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NN=N3)[O-],141
O=C(OC1(CC2(OC(N[N+]([O-])=O)=O)C3)CC(C2)(OC(N[N+]([O-])=O)=O)CC3(OC(N[N+]([O-])=O)=O)C1)N[N+]([O-])=O,180
[O-][N+]1=C(C2=[N+]([O-])ON=C2[N+]([O-])=O)C(C3=[N+]([O-])ON=C3[N+]([O-])=O)=NO1,146
CCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O,177
O=[N+](C1=NNC(N=[N+]=[N-])=N1)[O-],174
O=[N+]([O-])/N=c1\[nH]nc(-c2n[nH]/c(=N\[N+](=O)[O-])n2N[N+](=O)[O-])n1N[N+](=O)[O-],137
Nc1c([N+](=O)[O-])nn(C[N+](=O)[O-])c1[N+](=O)[O-],186
O=[N+](/C([N+]([O-])=O)=C1NCOCN/1)[O-],209
O=[N+](N1CN([N+]([O-])=O)CN([N+]([O-])=O)C1)[O-],215
O=[N+](C1=NN2C(NC3=C([N+]([O-])=O)C([N+]([O-])=O)=NN3C2)=C1[N+]([O-])=O)[O-],261
CN1C=C[N+]([C-]([N+]([O-])=O)[N+]([O-])=O)=N1,150
O=[N+](C1=NN(CC2=NOC(/N=N/C3=NC(CN(N=C4[N+]([O-])=O)C([N+]([O-])=O)=C4[N+]([O-])=O)=NO3)=N2)C([N+]([O-])=O)=C1[N+]([O-])=O)[O-],250.2
O=[N+](C([N+]([O-])=O)C1=NN(C([N+]([O-])=O)[N+]([O-])=O)N=N1)[O-],88
CN=[N+]([O-])C1=NON=C1N([N+]([O-])=O)CN([N+]([O-])=O)C2=NON=C2/[N+]([O-])=N\C,162
O=[N+](/C([N+]([O-])=O)=C1NCCN/1)[O-],219
CN(c1c([N+](=O)[O-])n[nH]c1[N+](=O)[O-])[N+](=O)[O-],178
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)NCC1=NON=C1NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)[O-],147
O=C(NC(C)C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)NC(C)C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,144
O=[N+](C1=NN(CC2=NN=NN2)C(/N=N/C3=NC([N+]([O-])=O)=NN3CC4=NN=NN4)=N1)[O-],171
[O-][N+]1=C(C2=NON=C2NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)C(C3=NON=C3NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NO1,167
O=C(OCC)NC1=NON=C1[N+]([O-])=O,153
[O-][N+]1=C(N)[N+]([O-])=NC(N2C(N)=NC([N+]([O-])=O)=N2)=N1,168
NC1=C([N+]([O-])=O)N=NN1N,193.9
O=C(OCCOC(N[N+]([O-])=O)=O)N[N+]([O-])=O,157
[NH2+]=C1OC([C-]([N+]([O-])=O)[N+]([O-])=O)=NN1N,143
NN1C(CN2N=C([N+]([O-])=O)C3=C2[N+]([O-])=NN3)=NN=C1CN4N=C([N+]([O-])=O)C5=C4[N+]([O-])=NN5,308
NC1=NON=C1[N+]([O-])=O,143
O=[N+]([O-])c1nc([N+](=O)[O-])n(CN(Cn2nc([N+](=O)[O-])nc2[N+](=O)[O-])[N+](=O)[O-])n1,209
O=[N+](C1=NON=C1N[N+]([O-])=O)[O-],64
O=C(NN1C=NN=C1N)C2=NN=C(N[N+]([O-])=O)N2,244.6
NC(CCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,120
NC1=NN=NN1CN(C)[N+]([O-])=O,183.6
O=[N+]([O-])c1c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],120
O=[N+](N=C1NN=C(C2=NN=C(C[N+]([O-])=O)O2)N1)[O-],150
[O-]/[N+](C1=NON=C1/N=N/C2=NON=C2[N+]([O-])=O)=N\[N+]([O-])=O,108.6
O=C(OC)CN1C([N+]([O-])=O)=C([N+]([O-])=O)N=C1,224
O=[N+]([O-])Nc1nonc1C1=NOC(c2nonc2N[N+](=O)[O-])=NO1,106
[O-]/[N+](C1=NON=C1/N=[N+]([O-])/C2=NON=C2/[N+]([O-])=N/[N+]([O-])=O)=N\[N+]([O-])=O,94.3
[O-][N+]1=C(N)[N+]([O-])=NC([N+]([O-])=O)=N1,109
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)N1N=C([N+]([O-])=O)N=C1C2=NN(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)C=N2)[O-],152
O=[N+]([O-])C(CNc1nonc1/N=N\c1nonc1NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],230
O=[N+](C(N(C(C(N=C1)=NN1[N+]([O-])=O)=N2)N=C2[N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)[O-],136
[N-]=[N+]=Nc1c([N+](=O)[O-])ncn1NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],136
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NCCCN1[N+]([O-])=O)[O-],134.4
O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2nonc2Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,262.85
O=[N+](/N=C(N1)\NN=C1C2=NN=NN2)[O-],215
CN([N+]([O-])=O)CN1N=C([N+]([O-])=O)N=C1C2=NC([N+]([O-])=O)=NN2CN(C)[N+]([O-])=O,228
CN1C([N+]([O-])=O)=NN=N1,155
O=[N+](C1=CC([N+]([O-])=O)=NN1CN2N=C([N+]([O-])=O)C=C2[N+]([O-])=O)[O-],330
O=[N+](C1=NON=C1C([N+]([O-])=O)[N+]([O-])=O)[O-],56
NN1C(N)=NN=C1C2=NNN=C2[N+]([O-])=O,263
O=C1NC(C([N+]([O-])=O)[N+]([O-])=O)=NO1,75
